,address.houseNumber,street,city,state,zip,address.zipPlus4,sold_month,building.fullBathroomCount,lot.lotDepthFeet,mls.lotSizeSquareFeet,mls.bedroomCount,mls.floorCount,mls.bathroomCount,building.buildingQualityCode,sale.priorSale.price,prev_sale_price,bedrooms_tagged,living_area_tagged,Bathroom_max_tagged,Bathroom_min_tagged,Bathroom_std_tagged,Bathroom_mean_tagged,Floor_max_tagged,Floor_min_tagged,Floor_std_tagged,Floor_mean_tagged,Walls_max_tagged,Walls_min_tagged,Walls_std_tagged,Walls_mean_tagged,Outview_tagged,Outview_std_tagged,Kitchen_level_tagged,Kitchen_level_std_tagged,general.propertyTypeDetail,sale.lastSale.saleDate,sale.priorSale.saleDate,building.yearBuilt,sale.lastSale.price,building.styleCode,building.roofCover,building.exteriorWalls,building.heatSource,building.constructionType,AC,Fireplace,SolarHeat,EvaporativeCooler,AttachedGarage,SpaorHotTub,Spa,Pool,Garage,hoa_type,hoa_amount
343,10345,10345 almayo ave 101,los angeles,ca,90064N,2633,september,2.0,,20128.0,2.0,1.0,2.0,1.0,896345.1795211416,,2.0,1406.0,5.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,Condominium Unit,2020,2016,1974,1075129.7067912535,29.0,Tar & Gravel,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,COA,460.0
344,10345,10345 almayo ave 307,los angeles,ca,90064,2645,march,2.0,,20128.0,2.0,3.0,2.0,1.0,1056805.3107009688,872000.0,2.0,1405.0,5.0,2.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,Condominium Unit,2021,2018,1974,1046901.9447302447,29.0,Tar & Gravel,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,COA,460.0
345,10345,10345 almayo ave 307,los angeles,ca,90064,2645,march,2.0,,20128.0,2.0,3.0,2.0,1.0,1056805.3107009688,,2.0,1405.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,0.0,Condominium Unit,2021,2018,1974,1046901.9447302447,29.0,Tar & Gravel,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,COA,460.0
346,10345,10345 almayo ave 305,los angeles,ca,90064,2645,june,2.0,,20128.0,2.0,1.0,2.0,1.0,1018754.2970007433,825000.0,2.0,1434.0,5.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,Condominium Unit,2021,2017,1974,1097200.623470749,29.0,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,COA,460.0
347,10345,10345 almayo ave 305,los angeles,ca,90064,2645,may,2.0,,20128.0,2.0,1.0,2.0,1.0,1023852.6256510209,,2.0,1434.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,2.0,0.0,3.0,1.0,Condominium Unit,2021,2017,1974,1103965.3972036403,29.0,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,COA,460.0
348,10644,10644 blythe ave,los angeles,ca,90064,3314,april,2.0,1350.0,6098.0,3.0,1.0,2.0,9.0,2032652.6740579605,1681000.0,3.0,1485.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,2.0,4.0,3.0,0.0,4.0,0.0,Single Family,2021,2018,1926,2129343.427421391,15.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,75.0
349,10644,10644 blythe ave,los angeles,ca,90064,3314,june,2.0,1350.0,6098.0,3.0,1.0,2.0,9.0,2018973.8510301113,,3.0,1485.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,Single Family,2021,2018,1926,2105738.570297397,15.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,75.0
350,1050,1050 s st andrews pl,los angeles,ca,90019,3627,june,2.0,1250.0,6098.0,4.0,1.0,3.0,7.0,1447271.5588883306,1140000.0,4.0,1969.0,5.0,4.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,4.0,2.0,0.0,4.0,0.0,Single Family,2020,2018,1920,1314543.7790391822,15.0,Roll Composition,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,200.0
351,1050,1050 s st andrews pl,los angeles,ca,90019,3627,april,2.0,1250.0,6098.0,4.0,1.0,3.0,7.0,1457077.0209636183,,4.0,1969.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,2.0,1.0,4.0,0.0,Single Family,2020,2018,1920,1322557.0352056376,15.0,Roll Composition,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,200.0
352,1050,1050 s bronson ave,los angeles,ca,90019,3214,november,3.0,,6848.0,4.0,1.0,3.0,4.0,990128.5353952234,1350000.0,4.0,2054.0,5.0,4.0,1.0,4.0,3.0,3.0,0.0,3.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,0.0,Single Family,2021,2018,1947,1465131.082610336,,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,None,0.0
